wise,|S|,target_axis,target_abbr,S,S_abbr,vary_axis,vary_abbr,label,flip_soft,gap,n_contexts_total,n_contexts_used_flip,n_contexts_used_gap,n_contexts_skipped_both
2wise,1,age,AGE,disability_status,,disability_status,DIS,{DIS} | AGE,0.025578754330040754,0.029731326370966538,1,1,1,0
2wise,1,appearance_body_status,APP,location,,location,LOC,{LOC} | APP,0.025346820321567938,0.06578520585952338,1,1,1,0
2wise,1,age,AGE,location,,location,LOC,{LOC} | AGE,0.024527387276198985,0.05564289311806414,1,1,1,0
2wise,1,location,LOC,gender,,gender,GEN,{GEN} | LOC,0.02428510529650929,0.026002177837702645,1,1,1,0
2wise,1,location,LOC,race_ethnicity,,race_ethnicity,ETH,{ETH} | LOC,0.023643903154402256,0.0493880436984534,1,1,1,0
2wise,1,location,LOC,disability_status,,disability_status,DIS,{DIS} | LOC,0.018654290469125256,0.01657737146987548,1,1,1,0
2wise,1,gender,GEN,appearance_body_status,,appearance_body_status,APP,{APP} | GEN,0.01783404861625737,0.015579317187813801,1,1,1,0
2wise,1,gender,GEN,location,,location,LOC,{LOC} | GEN,0.015682502492842875,0.0397785970794472,1,1,1,0
2wise,1,appearance_body_status,APP,disability_status,,disability_status,DIS,{DIS} | APP,0.012699315400978545,0.02720950158064231,1,1,1,0
2wise,1,location,LOC,appearance_body_status,,appearance_body_status,APP,{APP} | LOC,0.007284698998396455,0.008864177990413391,1,1,1,0
3wise,2,gender,GEN,race_ethnicity|age,ETH,age,AGE,ETH {AGE} | GEN,0.2774265947238259,0.6111435398001607,5,5,5,0
3wise,2,gender,GEN,location|age,LOC,age,AGE,LOC {AGE} | GEN,0.27732640474642883,0.6104309428052587,8,8,8,0
3wise,2,gender,GEN,age|disability_status,DIS,age,AGE,DIS {AGE} | GEN,0.2728038884635021,0.599744613185285,2,2,2,0
3wise,2,gender,GEN,appearance_body_status|age,APP,age,AGE,APP {AGE} | GEN,0.26621096049301324,0.5925120867031817,2,2,2,0
3wise,2,disability_status,DIS,age|gender,GEN,age,AGE,GEN {AGE} | DIS,0.1493529269662373,0.3629888827069053,2,2,2,0
3wise,2,disability_status,DIS,location|age,LOC,age,AGE,LOC {AGE} | DIS,0.14889965758606882,0.3747864977673071,8,8,8,0
3wise,2,disability_status,DIS,race_ethnicity|age,ETH,age,AGE,ETH {AGE} | DIS,0.14496759151688446,0.36737356861994563,5,5,5,0
3wise,2,disability_status,DIS,appearance_body_status|age,APP,age,AGE,APP {AGE} | DIS,0.14273409581779406,0.3571710158572634,2,2,2,0
3wise,2,appearance_body_status,APP,age|gender,GEN,age,AGE,GEN {AGE} | APP,0.14133374272963553,0.33339282721700386,2,2,2,0
3wise,2,appearance_body_status,APP,race_ethnicity|age,ETH,age,AGE,ETH {AGE} | APP,0.14066330178027908,0.3405836580338514,5,5,5,0
3wise,2,appearance_body_status,APP,location|age,LOC,age,AGE,LOC {AGE} | APP,0.13866519679615527,0.3311612590883059,8,8,8,0
3wise,2,appearance_body_status,APP,age|disability_status,DIS,age,AGE,DIS {AGE} | APP,0.13708483925739173,0.3218112414562836,2,2,2,0
3wise,2,appearance_body_status,APP,age|gender,AGE,gender,GEN,AGE {GEN} | APP,0.1359491595008234,0.1815002498197347,6,6,6,0
3wise,2,appearance_body_status,APP,location|gender,LOC,gender,GEN,LOC {GEN} | APP,0.1283885385607326,0.17430655785378596,8,8,8,0
3wise,2,appearance_body_status,APP,race_ethnicity|gender,ETH,gender,GEN,ETH {GEN} | APP,0.12727173642660675,0.17355956861123806,5,5,5,0
3wise,2,appearance_body_status,APP,gender|disability_status,DIS,gender,GEN,DIS {GEN} | APP,0.1272426783128358,0.17735239728313978,2,2,2,0
3wise,2,disability_status,DIS,appearance_body_status|gender,APP,gender,GEN,APP {GEN} | DIS,0.11590347308674376,0.12299145307474402,2,2,2,0
3wise,2,race_ethnicity,ETH,appearance_body_status|location,APP,location,LOC,APP {LOC} | ETH,0.10520266355317792,0.24967071975253885,2,2,2,0
3wise,2,race_ethnicity,ETH,location|age,AGE,location,LOC,AGE {LOC} | ETH,0.09759810826767125,0.2559673300800233,6,6,6,0
3wise,2,race_ethnicity,ETH,location|gender,GEN,location,LOC,GEN {LOC} | ETH,0.09682856632907001,0.23695346242054444,2,2,2,0
3wise,2,disability_status,DIS,race_ethnicity|gender,ETH,gender,GEN,ETH {GEN} | DIS,0.09570073372389543,0.09922382688855416,5,5,5,0
3wise,2,race_ethnicity,ETH,location|disability_status,DIS,location,LOC,DIS {LOC} | ETH,0.09545473084582314,0.23891934002013065,2,2,2,0
3wise,2,disability_status,DIS,age|gender,AGE,gender,GEN,AGE {GEN} | DIS,0.08946370342430172,0.09666330364190705,6,6,6,0
3wise,2,disability_status,DIS,appearance_body_status|location,LOC,appearance_body_status,APP,LOC {APP} | DIS,0.08873540605098745,0.08831578800013841,8,8,8,0
3wise,2,disability_status,DIS,appearance_body_status|age,AGE,appearance_body_status,APP,AGE {APP} | DIS,0.088298729836589,0.09425622179460906,6,6,6,0
3wise,2,disability_status,DIS,appearance_body_status|gender,GEN,appearance_body_status,APP,GEN {APP} | DIS,0.07959321787832774,0.08231468268332864,2,2,2,0
3wise,2,disability_status,DIS,race_ethnicity|appearance_body_status,ETH,appearance_body_status,APP,ETH {APP} | DIS,0.07885146223760763,0.08145064481731121,5,5,5,0
3wise,2,gender,GEN,race_ethnicity|age,AGE,race_ethnicity,ETH,AGE {ETH} | GEN,0.07836057886033777,0.14352900528985188,6,6,6,0
3wise,2,race_ethnicity,ETH,location|age,LOC,age,AGE,LOC {AGE} | ETH,0.07776993214967368,0.2002693629635059,8,8,8,0
3wise,2,disability_status,DIS,location|gender,LOC,gender,GEN,LOC {GEN} | DIS,0.07658863140370122,0.078513058444562,8,8,8,0
3wise,2,age,AGE,appearance_body_status|gender,APP,gender,GEN,APP {GEN} | AGE,0.07647766448188326,0.07016055857684173,2,2,2,0
3wise,2,age,AGE,gender|disability_status,DIS,gender,GEN,DIS {GEN} | AGE,0.07343753301232969,0.0722618054586529,2,2,2,0
3wise,2,race_ethnicity,ETH,appearance_body_status|age,APP,age,AGE,APP {AGE} | ETH,0.07247322718579051,0.21563411409515165,2,2,2,0
3wise,2,age,AGE,race_ethnicity|gender,ETH,gender,GEN,ETH {GEN} | AGE,0.06757804278702335,0.0632779501924708,5,5,5,0
3wise,2,race_ethnicity,ETH,age|gender,GEN,age,AGE,GEN {AGE} | ETH,0.06697020838874579,0.18729965050195962,2,2,2,0
3wise,2,age,AGE,location|gender,LOC,gender,GEN,LOC {GEN} | AGE,0.06688906995722821,0.062486739052123014,8,8,8,0
3wise,2,disability_status,DIS,race_ethnicity|appearance_body_status,APP,race_ethnicity,ETH,APP {ETH} | DIS,0.06645583672015001,0.14972890087170912,2,2,2,0
3wise,2,disability_status,DIS,race_ethnicity|location,ETH,location,LOC,ETH {LOC} | DIS,0.06522414339834999,0.16992387505734824,5,5,5,0
3wise,2,gender,GEN,race_ethnicity|disability_status,DIS,race_ethnicity,ETH,DIS {ETH} | GEN,0.06445643817248609,0.12420136369914503,2,2,2,0
3wise,2,disability_status,DIS,location|age,AGE,location,LOC,AGE {LOC} | DIS,0.06379765761446789,0.1621120867792014,6,6,6,0
3wise,2,age,AGE,race_ethnicity|appearance_body_status,ETH,appearance_body_status,APP,ETH {APP} | AGE,0.06301834417082386,0.06981677795240582,5,5,5,0
3wise,2,race_ethnicity,ETH,age|disability_status,DIS,age,AGE,DIS {AGE} | ETH,0.06237442419683875,0.15651924893821278,2,2,2,0
3wise,2,gender,GEN,age|disability_status,AGE,disability_status,DIS,AGE {DIS} | GEN,0.06207501175851101,0.07009155164357807,6,6,6,0
3wise,2,gender,GEN,appearance_body_status|disability_status,APP,disability_status,DIS,APP {DIS} | GEN,0.061827022432099366,0.06654033149366484,2,2,2,0
3wise,2,disability_status,DIS,race_ethnicity|location,LOC,race_ethnicity,ETH,LOC {ETH} | DIS,0.060735565060034954,0.14281525853410143,8,8,8,0
3wise,2,age,AGE,appearance_body_status|gender,GEN,appearance_body_status,APP,GEN {APP} | AGE,0.060025336151312836,0.06638608936157514,2,2,2,0
3wise,2,age,AGE,appearance_body_status|location,LOC,appearance_body_status,APP,LOC {APP} | AGE,0.059469433261275184,0.0657921676108067,8,8,8,0
3wise,2,gender,GEN,location|disability_status,LOC,disability_status,DIS,LOC {DIS} | GEN,0.059153629425283696,0.06658530105628017,8,8,8,0
3wise,2,gender,GEN,race_ethnicity|disability_status,ETH,disability_status,DIS,ETH {DIS} | GEN,0.0572611143266375,0.06501880346578978,5,5,5,0
3wise,2,disability_status,DIS,location|gender,GEN,location,LOC,GEN {LOC} | DIS,0.056368463441781314,0.15925210814055984,2,2,2,0
3wise,2,disability_status,DIS,race_ethnicity|gender,GEN,race_ethnicity,ETH,GEN {ETH} | DIS,0.05463085000184453,0.11935606167276011,2,2,2,0
3wise,2,appearance_body_status,APP,race_ethnicity|location,LOC,race_ethnicity,ETH,LOC {ETH} | APP,0.05338914881578408,0.12995897798952888,8,8,8,0
3wise,2,age,AGE,appearance_body_status|disability_status,APP,disability_status,DIS,APP {DIS} | AGE,0.05332446404143748,0.059530232168223896,2,2,2,0
3wise,2,gender,GEN,race_ethnicity|location,LOC,race_ethnicity,ETH,LOC {ETH} | GEN,0.051223970184685455,0.11135755642257206,8,8,8,0
3wise,2,appearance_body_status,APP,race_ethnicity|location,ETH,location,LOC,ETH {LOC} | APP,0.05083721873685014,0.15930221143979867,5,5,5,0
3wise,2,disability_status,DIS,appearance_body_status|location,APP,location,LOC,APP {LOC} | DIS,0.0506020415486008,0.11804220055449405,2,2,2,0
3wise,2,appearance_body_status,APP,race_ethnicity|age,AGE,race_ethnicity,ETH,AGE {ETH} | APP,0.049718987978050626,0.11797737421478055,6,6,6,0
3wise,2,age,AGE,appearance_body_status|disability_status,DIS,appearance_body_status,APP,DIS {APP} | AGE,0.04959914711329777,0.05695387532357438,2,2,2,0
3wise,2,age,AGE,race_ethnicity|disability_status,DIS,race_ethnicity,ETH,DIS {ETH} | AGE,0.048966722312939234,0.10991898889500545,2,2,2,0
3wise,2,age,AGE,appearance_body_status|location,APP,location,LOC,APP {LOC} | AGE,0.04806665820575261,0.11913061599689073,2,2,2,0
3wise,2,location,LOC,race_ethnicity|age,ETH,age,AGE,ETH {AGE} | LOC,0.04758535816134879,0.10914363202036659,5,5,5,0
3wise,2,age,AGE,race_ethnicity|location,LOC,race_ethnicity,ETH,LOC {ETH} | AGE,0.046727126925123735,0.10556444955770002,8,8,8,0
3wise,2,appearance_body_status,APP,race_ethnicity|disability_status,DIS,race_ethnicity,ETH,DIS {ETH} | APP,0.046539578573226534,0.09458114368557198,2,2,2,0
3wise,2,appearance_body_status,APP,race_ethnicity|gender,GEN,race_ethnicity,ETH,GEN {ETH} | APP,0.04647206263312106,0.12064244960413514,2,2,2,0
3wise,2,appearance_body_status,APP,location|disability_status,DIS,location,LOC,DIS {LOC} | APP,0.04565963950445582,0.12948650674662665,2,2,2,0
3wise,2,disability_status,DIS,race_ethnicity|age,AGE,race_ethnicity,ETH,AGE {ETH} | DIS,0.0448718731906133,0.09927538602223858,6,6,6,0
3wise,2,race_ethnicity,ETH,location|gender,LOC,gender,GEN,LOC {GEN} | ETH,0.04483852217435262,0.04709529763887409,8,8,8,0
3wise,2,gender,GEN,race_ethnicity|appearance_body_status,APP,race_ethnicity,ETH,APP {ETH} | GEN,0.044362224166635406,0.08106946510254626,2,2,2,0
3wise,2,location,LOC,appearance_body_status|age,APP,age,AGE,APP {AGE} | LOC,0.043353101999737215,0.09508715502109338,2,2,2,0
3wise,2,location,LOC,age|gender,GEN,age,AGE,GEN {AGE} | LOC,0.043101341502807575,0.10168230788377847,2,2,2,0
3wise,2,age,AGE,race_ethnicity|gender,GEN,race_ethnicity,ETH,GEN {ETH} | AGE,0.042703863915628436,0.09288253341306407,2,2,2,0
3wise,2,location,LOC,age|disability_status,DIS,age,AGE,DIS {AGE} | LOC,0.04243745970912275,0.08024616911434668,2,2,2,0
3wise,2,appearance_body_status,APP,location|disability_status,LOC,disability_status,DIS,LOC {DIS} | APP,0.04154482414181961,0.051823763455021904,8,8,8,0
3wise,2,appearance_body_status,APP,location|age,AGE,location,LOC,AGE {LOC} | APP,0.0397236029197486,0.11865891918903425,6,6,6,0
3wise,2,race_ethnicity,ETH,appearance_body_status|location,LOC,appearance_body_status,APP,LOC {APP} | ETH,0.03886297677567635,0.04156423266716308,8,8,8,0
3wise,2,race_ethnicity,ETH,location|disability_status,LOC,disability_status,DIS,LOC {DIS} | ETH,0.03877213943525809,0.0396903520608473,8,8,8,0
3wise,2,race_ethnicity,ETH,appearance_body_status|age,AGE,appearance_body_status,APP,AGE {APP} | ETH,0.03876568169511422,0.0404379615616313,6,6,6,0
3wise,2,race_ethnicity,ETH,appearance_body_status|gender,GEN,appearance_body_status,APP,GEN {APP} | ETH,0.03793467683747187,0.03949132639474612,2,2,2,0
3wise,2,age,AGE,race_ethnicity|appearance_body_status,APP,race_ethnicity,ETH,APP {ETH} | AGE,0.03723746272264529,0.07814236602890873,2,2,2,0
3wise,2,race_ethnicity,ETH,age|disability_status,AGE,disability_status,DIS,AGE {DIS} | ETH,0.03630859022175096,0.03366466253906023,6,6,6,0
3wise,2,race_ethnicity,ETH,gender|disability_status,GEN,disability_status,DIS,GEN {DIS} | ETH,0.0362398424574541,0.033601757116307474,2,2,2,0
3wise,2,age,AGE,race_ethnicity|location,ETH,location,LOC,ETH {LOC} | AGE,0.03597125793797299,0.09188857069270562,5,5,5,0
3wise,2,race_ethnicity,ETH,age|gender,AGE,gender,GEN,AGE {GEN} | ETH,0.034802415883186,0.03497261113521738,6,6,6,0
3wise,2,location,LOC,age|disability_status,AGE,disability_status,DIS,AGE {DIS} | LOC,0.033551524459909554,0.031706518492900126,6,6,6,0
3wise,2,location,LOC,race_ethnicity|age,AGE,race_ethnicity,ETH,AGE {ETH} | LOC,0.030860511115837815,0.06707582260620043,6,6,6,0
3wise,2,location,LOC,appearance_body_status|gender,APP,gender,GEN,APP {GEN} | LOC,0.030467191361156887,0.031762511007913,2,2,2,0
3wise,2,race_ethnicity,ETH,gender|disability_status,DIS,gender,GEN,DIS {GEN} | ETH,0.030229064049421106,0.03022276614709757,2,2,2,0
3wise,2,age,AGE,location|disability_status,DIS,location,LOC,DIS {LOC} | AGE,0.030109998911724847,0.08093990166152432,2,2,2,0
3wise,2,appearance_body_status,APP,location|gender,GEN,location,LOC,GEN {LOC} | APP,0.029459955271749196,0.08028527456179174,2,2,2,0
3wise,2,age,AGE,race_ethnicity|disability_status,ETH,disability_status,DIS,ETH {DIS} | AGE,0.028310533519814517,0.032791995693291054,5,5,5,0
3wise,2,gender,GEN,appearance_body_status|age,AGE,appearance_body_status,APP,AGE {APP} | GEN,0.027817243519869462,0.026671525483505865,6,6,6,0
3wise,2,appearance_body_status,APP,race_ethnicity|disability_status,ETH,disability_status,DIS,ETH {DIS} | APP,0.027061572382256337,0.03569248212663751,5,5,5,0
3wise,2,age,AGE,location|gender,GEN,location,LOC,GEN {LOC} | AGE,0.02701006557167456,0.06133507149423845,2,2,2,0
3wise,2,location,LOC,appearance_body_status|disability_status,DIS,appearance_body_status,APP,DIS {APP} | LOC,0.026513720433985588,0.023909089242813764,2,2,2,0
3wise,2,location,LOC,appearance_body_status|disability_status,APP,disability_status,DIS,APP {DIS} | LOC,0.026513720433985588,0.023909089242813764,2,2,2,0
3wise,2,gender,GEN,location|age,AGE,location,LOC,AGE {LOC} | GEN,0.02649703770496299,0.07370145748900724,6,6,6,0
3wise,2,gender,GEN,race_ethnicity|location,ETH,location,LOC,ETH {LOC} | GEN,0.02637773140079634,0.07004907153686993,5,5,5,0
3wise,2,location,LOC,race_ethnicity|disability_status,DIS,race_ethnicity,ETH,DIS {ETH} | LOC,0.02629066989011518,0.04925710420801027,2,2,2,0
3wise,2,age,AGE,location|disability_status,LOC,disability_status,DIS,LOC {DIS} | AGE,0.026269735072288553,0.03280737054908946,8,8,8,0
3wise,2,location,LOC,race_ethnicity|disability_status,ETH,disability_status,DIS,ETH {DIS} | LOC,0.025480735212960702,0.023980895047790017,5,5,5,0
3wise,2,appearance_body_status,APP,age|disability_status,AGE,disability_status,DIS,AGE {DIS} | APP,0.025098221131512898,0.03249622523894455,6,6,6,0
3wise,2,race_ethnicity,ETH,appearance_body_status|disability_status,APP,disability_status,DIS,APP {DIS} | ETH,0.024457272361476767,0.022562303904440695,2,2,2,0
3wise,2,age,AGE,gender|disability_status,GEN,disability_status,DIS,GEN {DIS} | AGE,0.02434199904556511,0.029754291573250158,2,2,2,0
3wise,2,race_ethnicity,ETH,appearance_body_status|disability_status,DIS,appearance_body_status,APP,DIS {APP} | ETH,0.02406468631109049,0.018043816459124007,2,2,2,0
3wise,2,location,LOC,age|gender,AGE,gender,GEN,AGE {GEN} | LOC,0.023908877924710453,0.025617129849730507,6,6,6,0
3wise,2,gender,GEN,location|disability_status,DIS,location,LOC,DIS {LOC} | GEN,0.023643304091600592,0.06447479450135213,2,2,2,0
3wise,2,location,LOC,race_ethnicity|gender,ETH,gender,GEN,ETH {GEN} | LOC,0.023516655198213332,0.025288857198770543,5,5,5,0
3wise,2,location,LOC,race_ethnicity|gender,GEN,race_ethnicity,ETH,GEN {ETH} | LOC,0.023208974123337122,0.04835110144543636,2,2,2,0
3wise,2,appearance_body_status,APP,gender|disability_status,GEN,disability_status,DIS,GEN {DIS} | APP,0.02280040308317087,0.03678316651390902,2,2,2,0
3wise,2,location,LOC,appearance_body_status|gender,GEN,appearance_body_status,APP,GEN {APP} | LOC,0.020595694268212894,0.022194065836744603,2,2,2,0
3wise,2,gender,GEN,race_ethnicity|appearance_body_status,ETH,appearance_body_status,APP,ETH {APP} | GEN,0.020560859501210716,0.01832360911382309,5,5,5,0
3wise,2,location,LOC,race_ethnicity|appearance_body_status,APP,race_ethnicity,ETH,APP {ETH} | LOC,0.02018696450558082,0.04111293201188182,2,2,2,0
3wise,2,gender,GEN,appearance_body_status|location,APP,location,LOC,APP {LOC} | GEN,0.01989298618600143,0.04854705028035161,2,2,2,0
3wise,2,gender,GEN,appearance_body_status|location,LOC,appearance_body_status,APP,LOC {APP} | GEN,0.019432314900160966,0.019713292670032245,8,8,8,0
3wise,2,location,LOC,gender|disability_status,GEN,disability_status,DIS,GEN {DIS} | LOC,0.01859614708790802,0.016524396447433864,2,2,2,0
3wise,2,race_ethnicity,ETH,appearance_body_status|gender,APP,gender,GEN,APP {GEN} | ETH,0.01798082731576267,0.01713304253414244,2,2,2,0
3wise,2,location,LOC,race_ethnicity|appearance_body_status,ETH,appearance_body_status,APP,ETH {APP} | LOC,0.016323100057261165,0.017937788784393116,5,5,5,0
3wise,2,location,LOC,appearance_body_status|age,AGE,appearance_body_status,APP,AGE {APP} | LOC,0.014129852689895897,0.01667480193697492,6,6,6,0
3wise,2,location,LOC,gender|disability_status,DIS,gender,GEN,DIS {GEN} | LOC,0.013816256009610561,0.01581931040604867,2,2,2,0
3wise,2,gender,GEN,appearance_body_status|disability_status,DIS,appearance_body_status,APP,DIS {APP} | GEN,0.004291522590110897,0.012815739132708892,2,2,2,0
4wise,3,gender,GEN,race_ethnicity|location|age,ETH LOC,age,AGE,ETH LOC {AGE} | GEN,0.2787771128983726,0.6158505392277925,40,40,40,0
4wise,3,gender,GEN,race_ethnicity|age|disability_status,ETH DIS,age,AGE,ETH DIS {AGE} | GEN,0.2750912166316602,0.6040728293608734,10,10,10,0
4wise,3,gender,GEN,location|age|disability_status,LOC DIS,age,AGE,LOC DIS {AGE} | GEN,0.2729252855152779,0.598865767204843,16,16,16,0
4wise,3,gender,GEN,race_ethnicity|appearance_body_status|age,ETH APP,age,AGE,ETH APP {AGE} | GEN,0.2671569620837322,0.5973427067180029,10,10,10,0
4wise,3,gender,GEN,appearance_body_status|location|age,APP LOC,age,AGE,APP LOC {AGE} | GEN,0.26672338867416423,0.5915582549381702,16,16,16,0
4wise,3,gender,GEN,appearance_body_status|age|disability_status,APP DIS,age,AGE,APP DIS {AGE} | GEN,0.26640623428276566,0.592804760712718,4,4,4,0
4wise,3,disability_status,DIS,appearance_body_status|location|age,APP LOC,age,AGE,APP LOC {AGE} | DIS,0.19761696384627267,0.4440892823209,16,16,16,0
4wise,3,disability_status,DIS,race_ethnicity|location|age,ETH LOC,age,AGE,ETH LOC {AGE} | DIS,0.19668638374079242,0.4637746302279916,40,40,40,0
4wise,3,appearance_body_status,APP,location|age|disability_status,LOC DIS,age,AGE,LOC DIS {AGE} | APP,0.18251092646187622,0.46663832447048176,16,16,16,0
4wise,3,disability_status,DIS,race_ethnicity|appearance_body_status|age,ETH APP,age,AGE,ETH APP {AGE} | DIS,0.1815107088915419,0.4203466783049457,10,10,10,0
4wise,3,appearance_body_status,APP,race_ethnicity|location|age,ETH LOC,age,AGE,ETH LOC {AGE} | APP,0.1770101133870902,0.43603488738776414,40,40,40,0
4wise,3,disability_status,DIS,race_ethnicity|appearance_body_status|location,APP LOC,race_ethnicity,ETH,APP LOC {ETH} | DIS,0.1749560300367164,0.389274413646938,16,16,16,0
4wise,3,disability_status,DIS,location|age|gender,LOC GEN,age,AGE,LOC GEN {AGE} | DIS,0.1734238960367559,0.40444818796569776,16,16,16,0
4wise,3,appearance_body_status,APP,race_ethnicity|age|disability_status,ETH DIS,age,AGE,ETH DIS {AGE} | APP,0.17013213170421398,0.4012111239514228,10,10,10,0
4wise,3,disability_status,DIS,race_ethnicity|appearance_body_status|location,ETH APP,location,LOC,ETH APP {LOC} | DIS,0.17003402508119564,0.4621020355988098,10,10,10,0
4wise,3,disability_status,DIS,race_ethnicity|appearance_body_status|location,ETH LOC,appearance_body_status,APP,ETH LOC {APP} | DIS,0.166386221355355,0.17812827035174045,40,40,40,0
4wise,3,disability_status,DIS,appearance_body_status|location|age,LOC AGE,appearance_body_status,APP,LOC AGE {APP} | DIS,0.16213103766831252,0.17571050702423252,48,48,48,0
4wise,3,disability_status,DIS,race_ethnicity|age|gender,ETH GEN,age,AGE,ETH GEN {AGE} | DIS,0.159951421828036,0.3927489017204792,10,10,10,0
4wise,3,disability_status,DIS,race_ethnicity|location|gender,ETH LOC,gender,GEN,ETH LOC {GEN} | DIS,0.1577310630103127,0.16889815450896253,40,40,40,0
4wise,3,disability_status,DIS,appearance_body_status|age|gender,APP GEN,age,AGE,APP GEN {AGE} | DIS,0.15741620520666486,0.4040869708782473,4,4,4,0
4wise,3,race_ethnicity,ETH,appearance_body_status|location|disability_status,APP DIS,location,LOC,APP DIS {LOC} | ETH,0.15531632794337868,0.3532942966299486,4,4,4,0
4wise,3,appearance_body_status,APP,race_ethnicity|age|gender,ETH GEN,age,AGE,ETH GEN {AGE} | APP,0.15347112799252965,0.3581238261819027,10,10,10,0
4wise,3,appearance_body_status,APP,race_ethnicity|gender|disability_status,ETH DIS,gender,GEN,ETH DIS {GEN} | APP,0.15159006841192219,0.1962217090440352,10,10,10,0
4wise,3,appearance_body_status,APP,race_ethnicity|location|gender,ETH LOC,gender,GEN,ETH LOC {GEN} | APP,0.1508238088617892,0.19198077336221545,40,40,40,0
4wise,3,appearance_body_status,APP,location|age|gender,LOC GEN,age,AGE,LOC GEN {AGE} | APP,0.14913668624938778,0.34933553698032516,16,16,16,0
4wise,3,disability_status,DIS,race_ethnicity|appearance_body_status|age,ETH AGE,appearance_body_status,APP,ETH AGE {APP} | DIS,0.14739951744230134,0.161005297739058,30,30,30,0
4wise,3,disability_status,DIS,race_ethnicity|appearance_body_status|age,APP AGE,race_ethnicity,ETH,APP AGE {ETH} | DIS,0.14705566010679016,0.3238196811594696,12,12,12,0
4wise,3,disability_status,DIS,appearance_body_status|location|gender,APP LOC,gender,GEN,APP LOC {GEN} | DIS,0.14673835226822432,0.15664586464441305,16,16,16,0
4wise,3,disability_status,DIS,race_ethnicity|location|age,ETH AGE,location,LOC,ETH AGE {LOC} | DIS,0.145065570836884,0.37989914698854454,30,30,30,0
4wise,3,disability_status,DIS,location|age|gender,LOC AGE,gender,GEN,LOC AGE {GEN} | DIS,0.14457109055304948,0.15828077313587555,48,48,48,0
4wise,3,appearance_body_status,APP,age|gender|disability_status,GEN DIS,age,AGE,GEN DIS {AGE} | APP,0.14425400596605897,0.332095930085665,4,4,4,0
4wise,3,appearance_body_status,APP,location|gender|disability_status,LOC DIS,gender,GEN,LOC DIS {GEN} | APP,0.14284327940084146,0.1842964062226634,16,16,16,0
4wise,3,appearance_body_status,APP,race_ethnicity|age|gender,ETH AGE,gender,GEN,ETH AGE {GEN} | APP,0.1419759268782654,0.1787423051961112,30,30,30,0
4wise,3,disability_status,DIS,race_ethnicity|location|age,LOC AGE,race_ethnicity,ETH,LOC AGE {ETH} | DIS,0.1416725027003817,0.3137019734422177,48,48,48,0
4wise,3,disability_status,DIS,appearance_body_status|location|age,APP AGE,location,LOC,APP AGE {LOC} | DIS,0.13987995623905017,0.35613709456846715,12,12,12,0
